Name,Manufacturer,Serial Number,Category,Purchase Date,Purchase Cost,Location,Company,Order Number,Quantity,Notes,Model Number,Min Qty,Supplier
Cocktail Shaker Set,Feedfish,947d97f0-64b5-4f20-ae98-6a36a27c7214,Kids,2025-08-16,,Alquízar,,80336,15,,High-quality cutlery set for daily use or special occasions.,158,Livepath
Sliced Strawberries,Gabspot,bb66e10b-f841-40c2-83e2-3d689ae63a41,Home,2025-03-21,4.99,Chubek,Skiles-Terry,14402,185,,Soft and chewy bar packed with protein and cinnamon flavors.,76,Meevee
Customizable Photo Calendar,,6f45e650-e2c8-4513-824a-c1d230428758,Automotive,2026-01-13,19.99,Verbivka,,,110,Personalized calendar with your favorite photos.,Classic wooden puzzle game for kids and adults.,118,Ooba
Nature Explorer Lens Kit,Tazzy,c865622c-4b1d-434d-9b50-875a74d5cc9b,Health,2025-06-28,19.99,,Kertzmann-Schmitt,,15,Magical lens kit for kids to explore the outdoors.,,76,Meezzy
Kids' Science Experiment Kit,Yakijo,d977158a-3877-489f-9618-96be5af1d4b3,Kids,2025-11-22,29.99,Ermelo,Paucek-Russel,4830,238,Engaging kit with science experiments for children.,Chic slingback sandals for a relaxed summer vibe.,193,Jaxworks
Portable UV Sterilizer,Roombo,290c2b52-f1aa-4e03-827b-e179d366acee,Garden,2025-08-19,19.99,,,25049,146,Compact sterilizer for disinfecting small items.,"Soft and delicious garlic-infused flatbread, perfect for dipping.",39,Zava
Noise Reduction Headphones,Jaloo,,Kids,2025-02-03,39.99,,,54789,210,Passive noise reduction headphones for focus.,Variety pack of sticky notes in different colors and sizes.,54,Skinder
Breathable Face Mask Set,,,Outdoors,2025-11-05,14.99,,"Crona, Considine and Blick",54221,10,Comfortable and reusable face masks in different styles.,"Fresh baby spinach leaves, great for salads and smoothies.",285,Devpulse
Lightweight Travel Backpack,Flipbug,a67b5b32-31bf-4726-8c49-3282f6546711,Beauty,2025-12-12,,San Pedro Zacapa,,29221,6,Compact and portable backpack for day trips and travel.,"Creamy, dairy-free Alfredo sauce",279,Mudo
Organic Green Tea,Oloo,8fb43af7-b3d2-484d-841c-c77b74bd3d76,Health,2025-05-23,4.29,Jiaoxie,"Fadel, Hodkiewicz and Gislason",12378,98,Delicate green tea leaves for a refreshing beverage.,,81,Yodel
Garlic Herb Cream Cheese,Oyoba,,Clothing,2025-01-10,2.99,Puteaux,,17792,230,Spreadable cream cheese blended with garlic and herbs.,Ergonomic mouse designed for gamers with high DPI.,21,Quinu
Insulated Sport Tumbler,Blogtag,571123df-e97f-4b18-b812-5bb1b719f31d,Outdoors,2025-02-25,22.99,Ejigbo,Gutkowski and Sons,55521,258,Vacuum-insulated tumbler for beverages on the go.,Colorful and child-friendly gardening tools for little hands.,151,Agivu
Sesame Noodles,Midel,8470bbc8-212c-4d7a-92c6-535691214768,Movies,2026-02-09,5.99,Kista,,69486,43,"Chilled noodles dressed in sesame sauce, ready to eat.",Comfortable pet carrier for travel and vet visits.,70,Vitz
Whole Roasted Chicken,Ntags,5cf2b662-8d68-4e97-9e64-8e7a84ab2075,Computers,2025-03-07,9.99,Al ‘Azīzīyah,Lang-Bailey,78182,251,"Seasoned and roasted to perfection, ready to eat.",Soft glow night light for children's rooms or bedside.,32,Pixonyx
Car Phone Mount,Kanoodle,6aa3890a-bb2e-461a-a9c6-ab9022515f58,Shoes,2025-09-10,15.99,Balitai,"Reinger, Hodkiewicz and Toy",91041,256,Adjustable phone mount for car dashboard.,Portable fire pit for backyard gatherings.,237,Trunyx
Cucumber Relish,Yodel,,Clothing,2025-12-18,3.39,,Swift LLC,7037,203,"Sweet relish made from cucumbers, perfect for sandwiches.",Salsa made with fire-roasted tomatoes for an authentic flavor.,71,
Eco-Friendly Disposable Plates,Mycat,44be4089-3703-419a-8e3c-dc5b2006f488,Home,2025-03-30,22.99,Xintang,Connelly and Sons,,167,Compostable plates suitable for various occasions.,Thermos that tracks your water intake and temperature.,60,Flipbug
Smoky BBQ Jackfruit,Trudoo,a6a79e15-a757-457e-9154-3632bd72c638,Outdoors,2025-02-10,,,,49846,45,Pulled jackfruit in a smoky BBQ sauce for a tasty vegan dish.,"Creamy, dairy-free Alfredo sauce",97,Talane
Wireless Charger Stand,Youspan,,Garden,2026-01-08,,Xiachu,"Leannon, Baumbach and Kovacek",61420,297,Convenient charging stand for smartphones and devices.,Creamy Greek yogurt infused with raspberry and vanilla flavors.,99,Yombu
Coffee Maker,Vimbo,cd6a7c1d-2362-448d-b08f-174cc052a6c2,Sports,2025-07-29,89.99,Tuchomie,"Borer, Bergnaum and Fritsch",26936,145,Single-serve coffee maker with a built-in grinder.,Complete set to brew coffee with different methods.,250,Youtags
Chocolate Chip Cliff Bars,Eimbee,,Garden,2026-02-06,2.49,Mahong,,,25,Nutritious energy bars packed with chocolate chips.,Savory sauce for vegetable and meat stir-fries.,290,Kwinu
Trail Mix (Deluxe),,a8da2b36-67e6-4cac-8c94-901f95d7b85c,Electronics,2025-08-21,,L’govskiy,"Rutherford, Douglas and Klein",96785,254,"A delightful mix of nuts, fruit, and chocolate.",Eco-friendly soy candles with a variety of scents.,241,Latz
Olive Oil,Yabox,0f9be4d3-3fb2-4319-9f95-585f26e7f482,Music,2025-03-24,,Kafr Zībād,Franecki and Sons,45002,198,"Extra virgin olive oil, ideal for cooking and salads.",Portable battery pack to charge laptops while on the move.,145,Browsedrive
Kids' Educational Tablet,Twinte,06f42881-500a-4346-a44d-2b31d2a44884,Electronics,2025-10-24,,,,23594,289,Learning tablet with kid-friendly educational apps.,"Crispy chips with a sweet twist, perfect for dipping.",294,Jaloo
Dishwasher Safe Cutting Board,Cogilith,e4e5f72d-f03b-4e3d-b492-a9844b14bacd,Toys,2025-05-01,22.99,Tungao,"Predovic, Sawayn and Champlin",95330,26,Eco-friendly cutting board that is safe for dishwashers.,Durable boots designed for outdoor hiking and activities.,266,Voolia
Fleece Hoodie,JumpXS,227af2c9-7f52-4569-a86d-99f513b8bdd0,Beauty,2025-04-04,,Hexing,,,102,Ultra-soft fleece hoodie for warmth and comfort during chilly days.,Individually packaged bars made with dried fruits and nuts.,18,Mybuzz
Throw Pillow Covers,Roomm,9aa40c7a-37d0-4830-ad63-d3533d940002,Garden,2025-12-06,22.99,,Maggio and Sons,12854,136,Set of decorative pillow covers to enhance your home decor.,Compact electric scooter for commuting and short trips.,80,Demimbu
Marinated Artichokes,Oodoo,,Grocery,2025-10-25,3.79,Karakul’,Welch-Lemke,6552,175,Artichoke hearts marinated in herbs and oil.,Crunchy granola with maple flavor and almond pieces for breakfast.,56,Yata
Cauliflower Rice Stir-Fry,Zooveo,,Kids,2025-03-11,4.99,,Gutkowski-Krajcik,29916,63,Frozen cauliflower rice blended with mixed vegetables and seasonings.,Compact electronic drum kit for musicians of all levels.,96,Twitterlist
Pineapple Teriyaki Chicken Mix,Jayo,eaf14152-2a89-4a82-a50a-4a6a0adf4f85,Automotive,2026-01-10,6.99,Oslo,O'Connell-Treutel,,61,A perfect blend of pineapple and teriyaki for stir-fry.,Single-serve coffee maker with a built-in grinder.,116,
Nature Explorer Lens Kit,,255ffd7a-2352-46a1-a932-bc1431281fc1,Kids,2025-05-12,19.99,Espargos,Hudson-Hansen,,204,Magical lens kit for kids to explore the outdoors.,Frozen cauliflower rice blended with mixed vegetables and seasonings.,300,Gigashots
Mini Cordless Vacuum Cleaner,Edgeblab,,Baby,2025-07-13,45.99,Tidili Mesfioua,"Hettinger, Witting and Ward",16483,3,Handheld vacuum cleaner for quick and easy cleaning.,"Instant oats with a savory twist, such as herbs and spices.",138,Youopia
Electric Ice Cream Maker,Lazz,a7069f20-bc1a-4675-a8bf-080ce3204bb9,Garden,2025-11-09,59.99,,Von-Gerlach,1285,10,Make delicious ice cream at home with this user-friendly machine.,"Assorted sliced cheese, perfect for sandwiches.",120,Shuffledrive
Italian Sausage and Peppers,,c3c437a7-a1d4-41c6-a739-68557389eae0,Baby,2025-08-10,8.99,Quimper,Spinka-Stroman,29179,155,A flavorful blend of Italian sausage with sautéed peppers and onions.,,27,Ntag
Adjustable Height Standing Desk Converter,Dabshots,651763e4-bdc2-4dac-b817-22c50b5f391b,Music,2025-10-16,89.99,,,71331,105,,Simple tool to train your pet with positive reinforcement.,269,Gigaclub
Two-Tier Fruit Basket,Einti,461070d5-b4d2-4dab-8e8d-abed0a71dfe4,Computers,2025-06-20,29.99,Tha Muang,,16650,22,Stylish fruit basket for kitchen or dining room.,,124,Zoombeat
Adjustable Pet Feeder,Dazzlesphere,4955879e-8547-4421-95f3-c860aa660354,Sports,2025-04-05,39.99,Banjar Sedang,Dooley-Terry,78987,188,Convenient feeder that adjusts to your pet's height.,"Sweet and crisp apples, perfect for snacking.",67,Youspan
Nutty Trail Mix,Buzzbean,2ba69c91-49a4-4c96-a2b3-49d554d1e2b0,Sports,2025-09-04,4.29,Hepo,Powlowski and Sons,51234,274,"A blend of nuts, seeds, and dried fruits for snacking.",Compact hose reel to keep your garden tidy.,293,Jabberbean
Tennis Racket,Dablist,,Movies,2025-03-21,89.99,Liuhou,Lowe Group,7136,111,Lightweight tennis racket for beginners and advanced players.,Eco-friendly bamboo holder for toothbrushes.,148,Oyoba
Spicy Thai Chili Sauce,Devbug,,Beauty,2025-11-24,3.29,,Mohr and Sons,,162,,"Lightweight, expandable hoses for easy handling.",218,Roodel
Wrap Front Midi Skirt,Vitz,e007ee9c-c7a0-448f-adba-92ea228a37ce,Outdoors,2025-11-25,44.99,Gaoua,Lind-Kutch,20002,221,,Training tool for reinforcing commands and behavior in dogs.,257,Fanoodle
Dried Apricots,Zoozzy,36f6849b-fbf6-42db-a195-893037a06830,Automotive,2025-01-29,3.79,Mache,"Kemmer, Schaden and Von",48791,88,"Sweet, chewy dried apricots, great for snacking or baking.",,165,Eidel
Maple Bacon Jerky,Yacero,,Music,2025-08-30,6.99,Dundbürd,,49666,77,Savory bacon jerky coated with maple flavoring.,,,Photolist
Portable Pet Bathing Tool,,4654ac67-96c4-43a8-84f6-82c595d99473,Electronics,2025-03-23,29.99,Halimaung Jaya (F-3),"Mueller, Gutmann and Gleichner",89036,59,Handheld sprayer designed for washing pets easily.,A mix to create a delicious onion dip for parties or snacking.,295,Yacero
Mango Chili Salsa,Midel,4c236df0-f0b2-4317-8eee-7e02202c8dff,Shoes,2025-02-23,4.29,Henglin,,56282,103,"A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken.",Multi-level cat tree for climbing and scratching.,210,
Honey-Balsamic Vinaigrette,Blogtag,44f3489a-a488-4a8e-8e7d-5af8b84675d1,Shoes,2025-08-24,3.39,Jangdam,"Gulgowski, Lockman and Paucek",68567,221,A sweet and tangy vinaigrette dressing for salads.,"Sweet and salty kettle corn, perfect for snacking.",239,
Repair Tool Set for Home Improvement,Yodoo,,Tools,2025-06-30,,,,68402,247,Small toolkit with essentials for home repairs.,Portable car vacuum cleaner with strong suction.,143,Eire
Wine Glasses,Edgepulse,,Kids,2025-10-25,29.99,Cabinteely,,61682,296,Set of elegant wine glasses for special occasions.,,116,
Portable Charger with Solar Panel,Skidoo,,Electronics,2025-11-06,45.99,Bābol,Bogisich-Schulist,83490,134,Eco-friendly charger with a built-in solar panel for outdoor use.,,137,Voonder
Workstation Laptop Stand,Quamba,2e36f7ba-28f9-48ff-87e9-61676cbd3710,Toys,2026-02-11,49.99,Stari Grad,,83199,249,,Creamy chickpea dip infused with zesty garlic flavor.,,Devcast
Herbed Couscous,Dabvine,d1970d0e-c5b6-49b4-9eb6-7f12b5b96f04,Jewelry,2025-04-29,2.49,,,,164,Quick-cooking couscous flavored with herbs and spices.,Mesh drying rack for preserving herbs and flowers.,,Meejo
Mango Chilli Sauce,Skiptube,30ba8c26-8c28-4bd6-ac87-366d78405e33,Baby,2026-01-21,3.99,Dragomer,,67549,48,A sweet and spicy sauce for dipping or glazing.,,,Trudoo
Dish Soap Dispenser,Avavee,7b83a1ba-0725-4978-ba1c-7dcbfffdb0b2,Automotive,2025-10-03,18.99,Qukuhu,"Cruickshank, Bradtke and Brakus",63168,93,Stylish dish soap dispenser with sponge holder.,Comfortable and reusable face masks in different styles.,87,Agimba
Ripped Boyfriend Jeans,Babbleset,fd9e1b2a-edd1-4b22-95d6-4c32e53cd282,Home,2025-05-08,,Hovorany,,31256,89,"Stylish ripped boyfriend jeans for a relaxed, effortlessly cool vibe.",Comfortable pet bed for small to medium-sized dogs.,125,Quimm
Athletic Compression Tights,Kanoodle,f737b3af-f746-464d-83f1-48a7d29a0fba,Tools,2026-02-15,39.99,,"Greenholt, Ratke and Langosh",16690,122,High-performance compression tights designed for optimal support and comfort.,Crispy cheese snacks that melt in your mouth.,,Brainsphere
Cranberry Juice,Skinix,92fa3c27-ba7a-4031-a280-f1a28d22db2d,Books,2025-08-27,,Cantuk Kidul,Rutherford-Miller,40490,201,Refreshing cranberry juice with no added sugar.,DIY kit to convert your smartphone into a mini projector.,58,Riffpath
Ethically-Sourced Coffee Beans,Janyx,81bc340d-03ab-400f-9ada-38a9fe0d3389,Jewelry,2025-09-24,9.99,Palmar de Varela,Stamm-McClure,62158,9,Freshly roasted coffee beans with rich flavor.,"Soft pita bread, perfect for sandwiches or dips.",67,Topiczoom
Wild Rice Pilaf,Blognation,0fbba171-afa7-4153-ae1d-abad808e025a,Movies,2025-01-05,3.79,Soloneshnoye,Rath LLC,616,89,"A mix of wild rice with herbs and spices, ready to serve.",,225,Kwinu
Pumpkin Spice Coffee,Gigaclub,e597b93b-4521-4b27-b6b3-13d9ae69bfca,Sports,2025-02-20,7.99,,Boehm and Sons,,109,"Coffee blend infused with pumpkin spice, perfect for fall.",Decorative table runner perfect for autumn gatherings.,245,Devify
Body Wash,,,Health,2026-01-01,12.99,,"Stokes, Barrows and Wilderman",6212,273,Moisturizing body wash with natural ingredients.,Nutritious bars packed with protein for energy,,Kazu
Peanut Butter Banana Smoothie,Midel,,Sports,2025-08-19,3.99,Tabio,"Mayer, Greenholt and Strosin",59883,140,Smooth and creamy smoothie made with peanut butter and banana.,RFID-blocking slim wallet for cards and cash.,150,Vitz
Portable Phone Charger,Brainverse,ddfd0c20-5f89-4143-a3a2-5734e0ed1bbd,Home,2025-05-25,,,Carter-Hackett,61232,175,High-capacity power bank for charging devices on the go.,Reusable suction cup hooks for hanging items.,21,Voolia
Organic Whole Grain Oats,Skynoodle,980599eb-d4d1-4747-a557-a9362b78dd9f,Clothing,2025-05-29,2.49,Dzięgielów,Larson-Mitchell,72580,4,Whole grain oats that are perfect for breakfast or baking.,Instant-read thermometer for precise cooking temperatures.,,Twimbo
Sun-Dried Tomato Pesto,Mudo,2e17011e-4ebb-46e7-9e29-0f61338ca72c,Clothing,2025-06-23,,Morani,"Harber, Kreiger and Klein",48823,261,,Classic cereal made with whole grains and honey.,291,Teklist
Cranberry Lime Sparkling Water,Trilia,0f676fa3-f0fc-4f74-8c81-410144950f4b,Industrial,2026-01-29,1.5,Pallanchacra,Mante-Corwin,33491,78,Refreshing sparkling water infused with cranberry and lime flavors.,A nutritious shake with rich chocolate and refreshing mint flavors.,160,
Electric Can Opener,Skyndu,317bcade-3c62-451f-a8c1-23cb069eb586,Jewelry,2025-06-25,29.99,,Prosacco-Bergstrom,16974,264,Automatic can opener for easy meal prep.,,136,Oloo
Vegetable Stir Fry Mix,Babbleblab,d03b9765-677c-4bfd-9f21-355fbc950d08,Grocery,2026-02-15,3.29,Hitiaa,Grant and Sons,13029,48,A mix of fresh vegetables for quick stir-fries.,Handy keychain that emits a loud alarm for personal safety.,1,Meevee
Non-Toxic Crayons for Kids,Skinix,5ebf55a3-066b-4c95-af7b-4e636b619d4c,Baby,2025-08-23,10.99,,,52716,206,,Crunchy granola with pumpkin spice flavor.,52,Tagtune
Safety Pin Dispenser,Topiclounge,,Jewelry,2025-12-10,5.99,Heishan,Stracke Group,78692,286,,Tangy whole grain mustard for sandwiches and dressings.,88,Lazz
Silicone Baking Mat Set,Youfeed,085d2dc3-f8fe-46b6-a9e6-11e306fd5776,Sports,2025-08-13,24.99,Zhijiang,Hodkiewicz-Bergnaum,62759,178,,Smooth Greek yogurt infused with vanilla bean flavor.,178,
Party Mini Dress,Skyndu,,Computers,2025-06-24,69.99,Perho,,44278,273,,Comprehensive tool set for gardening enthusiasts.,146,Eire
Portable Laptop Table,Babblestorm,4356fe24-a195-4236-b4d8-77c5c3ed0423,Electronics,2025-08-26,39.99,,,4529,43,Foldable table for working with laptops anywhere.,"Assorted herbal teas, perfect for a warm and relaxing drink.",120,Browseblab
Yoga Strap,Aimbu,a46cae60-fa63-41bc-bce3-899b45f26937,Home,2025-12-07,,,"Macejkovic, Vandervort and Stehr",53800,298,Durable yoga strap for deeper stretches.,"Creamy mayonnaise, perfect for salads and sandwiches.",182,Ooba
Lentil Soup (canned),Riffpedia,,Shoes,2025-09-06,,Lomba do Loução,"Swaniawski, Schmitt and Franecki",24441,142,Hearty lentil soup for a quick meal.,Finely ground almonds for baking or cooking,,Aibox
Garden Vegetable Soup,Divavu,,Music,2025-04-24,3.29,Além,,,256,"A hearty soup filled with vegetables and herbs, perfect for a light meal.","Pre-cooked vegetable fried rice, just heat and serve.",204,Devpoint
Laptop Backpack,Edgeclub,a515690b-78ec-44d1-8216-4656aed7f67e,Home,2025-05-05,69.99,Krajan Gading,Bashirian LLC,,295,Water-resistant laptop backpack with multiple compartments.,,100,Muxo
Outdoor Folding Table,Yamia,7db2e05b-6604-484c-9231-65c6cbb2afda,Toys,2025-12-14,39.99,Chishui,Erdman Inc,30838,52,Lightweight and portable folding table for camping or picnics.,"Seasonal pumpkin ice cream, perfect for fall.",235,Flashset
Classic Cheeseburger Mix,Photobug,,Music,2025-01-26,5.49,Vellinge,"Anderson, King and Hand",68127,222,,Travel-friendly water bottle for pets on the go.,91,Shuffledrive
Wireless Earbuds,Skalith,14d4eda3-b067-4b6e-a127-bfc42a254364,Shoes,2025-01-26,69.99,,"Hudson, Ernser and Schaden",98270,276,True wireless earbuds with touch control.,Portable ring light that enhances your photos with perfect lighting.,8,Gabvine
Pet Travel Carrier,Ailane,6f8d17a2-28f6-467d-9e57-113f1f17e5ba,Jewelry,2025-03-11,,Aku,,,2,Comfortable carrier for small pets during travel.,Elegant classic pumps that add sophistication to any outfit.,178,Thoughtworks
Pocket Blanket,Meevee,a12535b7-f60d-46b8-89cd-bc3b0c8ce33b,Baby,2025-10-07,24.99,Mar’’ina Horka,Zieme LLC,83668,218,"Compact, waterproof blanket for picnics and events.",A sweet and spicy sauce ideal for spring rolls or chicken nuggets.,121,Divavu
Wireless Smart Plug,Shuffletag,16599fcd-35d3-4c42-aad7-fe3101d55b03,Home,2025-01-27,19.99,San Pedro de Macorís,"Thiel, McKenzie and Anderson",7953,239,Control home appliances remotely using your smartphone app.,Non-stick surface for easy cooking and cleaning.,45,Eadel
Spinach and Feta Wraps,Babblestorm,9ef3d0a5-ec93-4284-bda3-a3d20d843a5a,Toys,2025-07-20,4.99,,"Bailey, Waelchi and Emmerich",13659,279,Whole wheat wraps filled with spinach and feta cheese.,Inspiring cookbook with healthy recipes.,,Babbleblab
Reusable Silicone Food Storage Bags,Fatz,314b33b5-9d48-43c4-8842-b9ed49cac3c5,Music,2025-06-13,,Aginskoye,"Wiegand, Hammes and Bradtke",90876,174,Eco-friendly bags for storing food without plastic waste.,Suction cup bird feeder for close-up bird watching.,57,Realmix
Sushi Rice,Demivee,e61f76ea-12b3-4b4f-8101-7c082f10d554,Toys,2025-06-30,3.99,Ngajum,"Legros, Blanda and Roberts",68370,46,Short-grain sushi rice for perfect rolls.,Versatile puff pastry for pies and pastries.,157,Skilith
Frozen Fruit Medley,,c0fb344c-b238-434c-97a2-6af741958583,Games,2025-07-18,5.99,Bornu Yassu,Nader-O'Reilly,13569,215,,Rich and creamy Caesar dressing for salads and wraps.,119,Oyoba
Almond Quinoa Salad,Roomm,,Beauty,2025-09-10,,Jiuxian,Hagenes and Sons,16554,37,"Healthy salad made with quinoa, almonds, and mixed greens, perfect for a light meal.",Kitchen tool for tenderizing meat to enhance flavors.,,Tanoodle
Beet Salad,Eabox,,Garden,2025-05-30,3.99,,Kling Group,93146,16,"Ready-to-eat beet salad with dressing, great side dish.",Fresh and juicy cherry tomatoes for salads and snacking.,16,Cogidoo
Pineapple Coconut Bars,Youspan,40bc029c-95eb-4308-9726-7b2d2d89eb8f,Sports,2025-02-09,3.79,Tilik,,53061,71,Refreshing dessert bars made with pineapple and coconut.,,184,Yoveo
Compressed Towel Tablets,,,Baby,2025-02-28,12.99,Sobral da Adiça,Koss and Sons,1287,167,"Compact towels that expand when wet, ideal for travel.",Savory and chewy beef jerky with teriyaki flavor.,97,Voonder
Travel Mug with Leak-Proof Lid,Divavu,,Toys,2025-12-05,,,Aufderhar-O'Reilly,,212,Stainless steel travel mug that keeps drinks hot or cold.,Compact air fryer for healthier cooking.,83,Lazz
Chocolate Coconut Protein Balls,Feedfire,effcd1fd-36e4-4878-a618-20b986e4860c,Sports,2025-06-01,,Minas de Marcona,"Strosin, Schneider and Simonis",19612,231,No-bake protein balls with chocolate and coconut flavors.,Space-saving cup that folds flat for easy storage.,159,Midel
Chickpea Salad,Pixoboo,ed5b0d03-81b0-4e45-a4e4-18acc548085e,Baby,2025-03-09,5.49,Fendou,McGlynn-Heaney,17606,264,A ready-to-eat salad made with chickpeas and veggies.,Just add water for delicious brownies.,173,Mybuzz
Decorative Wall Tapestry,Thoughtstorm,8301e43c-d76d-4e68-885f-78dcc58dd5dc,Kids,2025-02-27,34.99,Jingang,Turcotte-Mayer,91267,289,,Classic chino shorts in a versatile color for summer adventures.,277,Photospace
Noise-Canceling Headphones,Eazzy,b85bac07-6a81-470f-839b-9bf1a49ff469,Kids,2025-02-11,119.99,Priekulė,"Herman, Beahan and Bernier",,150,High-quality headphones that block out external noise for immersive listening.,"Freshly baked French baguette, perfect for dipping.",2,Quire
Vegan Tacos,Thoughtbeat,17766394-11a3-4ee2-91f9-3be6a981b728,Games,2025-05-28,7.49,Veyno,"Gleason, Kihn and Waelchi",,209,Frozen vegan tacos filled with plant-based protein and spices.,,261,Bubblebox
Sesame Garlic Stir-Fry Sauce,Lazzy,0032a619-3289-4468-af28-a1d27d78aecb,Movies,2025-02-05,2.79,,Marvin-Mann,75541,131,A flavorful sauce for stir-frying vegetables and meats.,Compact keyboard for tablets and smartphones.,155,Vidoo
Magnetic Chess Set,Kwinu,12b83a8d-87bb-4186-932b-20ca73169019,Movies,2026-01-04,19.99,Cibatuireng,Hills LLC,2447,231,Portable chess set with magnetic pieces for travel.,A feminine wrap top with a beautiful floral print.,293,Aibox
Spicy Tuna Sushi Kit,Digitube,1e9aa6e2-7358-487b-8489-128114a06f51,Sports,2025-11-04,,Svrljig,,90674,279,Everything you need to make delicious spicy tuna rolls at home.,Lightweight tennis racket for beginners and advanced players.,39,Feednation
Quinoa,Dabfeed,ca2fd355-4e91-4660-a12f-c38c4a628b7a,Computers,2025-04-02,4.49,San Miguel,Vandervort Inc,33826,221,"Protein-rich quinoa, a great alternative to rice.","Bartender kit with shaker, jigger, and strainer.",220,Linkbridge
Hair Dryer,Kaymbo,65ffc3a1-7e38-4b78-82c9-621834a6553d,Outdoors,2025-05-17,39.99,,"Jacobson, Armstrong and O'Conner",,41,Compact hair dryer with multiple heat settings.,Foldable chair equipped with a cooler pouch.,159,Abatz
Mesh Laundry Bags Set,,270891f5-e744-4d92-91b5-a0e74403d5b3,Kids,2025-01-28,12.99,Siluman,Schroeder Group,58829,102,Laundry bags perfect for delicates and organizing clothes.,"Crunchy tortilla chips with a hint of sea salt, great with dips.",50,Kanoodle
Pistachios,Meemm,,Kids,2025-04-17,6.99,Nalus,"Ernser, Krajcik and Kemmer",77795,97,"Roasted pistachios, a healthy and tasty snack.",,110,
Chipotle Black Bean Burger,Topicblab,c0e98625-c36c-425d-81cd-80f7de08b23b,Books,2025-01-24,4.99,Novalja,Mann Inc,42773,91,"Spicy black bean burgers, great on the grill.",Durable ceramic bakeware for casseroles and desserts.,288,Tagtune
Chocolate Mint Cookies,Trudoo,,Games,2025-01-17,2.29,Magdeburg,Erdman Group,32616,178,Delicious cookies with rich chocolate flavor and a hint of mint.,Energy-efficient window air conditioner for cooling.,11,Quamba
Rolling Cooler,Rhynyx,e9210dbd-7ec4-44c0-9392-dc60a0bc70f9,Electronics,2025-05-28,59.99,Estoril,Schroeder Group,,101,Wheeled cooler for transporting drinks and snacks.,Inspiring cookbook with healthy recipes.,135,Bubblemix
Air Fryer,Myworks,5481f257-cfd7-41bd-b303-3dd0217c06cb,Clothing,2025-07-27,,,Veum-Schmidt,,57,Compact air fryer for healthier cooking.,Multi-level cat tree for climbing and scratching.,170,Gabtype
Faux Fur Throw Blanket,Thoughtsphere,eccc27c2-1045-4296-9bc0-c39061762d8f,Games,2025-12-24,39.99,Gabrovo,Becker and Sons,89112,249,Cozy faux fur blanket to add warmth and style to your home.,Comprehensive first aid kit for home or travel emergencies.,173,Voomm
Maple Chipotle Glaze,Skilith,3f33e14b-b44d-4d1b-8996-0a30d54e7e42,Games,2025-06-03,3.49,Xiacang,Brekke-Schuppe,99913,243,,"Crunchy tortilla chips with a hint of sea salt, great with dips.",269,Yadel
Mango Chunks,Minyx,f63aa484-b13d-46b2-80bb-1e8f277841e4,Tools,2025-05-06,4.89,,Rodriguez-Effertz,62944,137,Frozen mango chunks for smoothies or snacking.,Variety pack of craft supplies for kids' projects.,245,Dabshots
Silicone Wine Glasses,Kwilith,ea22c609-87cc-4dd7-a33c-4d314fc26f62,Toys,2025-08-07,22.99,Olovyannaya,,,222,Durable and shatterproof silicone glasses for outdoor use.,Popcorn tossed with sweet or savory flavors for a tasty snack.,1,Topdrive
LED Camping Lantern with USB Charging,,09b59e32-e0ff-4b55-ae17-b6adb28f6dca,Electronics,2025-09-19,34.99,Chaka,Torphy and Sons,,16,Rechargeable lantern with multiple brightness settings for outdoors.,"Freshly sliced cucumbers, great for salads or snacking.",73,Oyonder
Weighted Jump Rope,Kazio,,Sports,2025-07-15,15.99,Camp Diable,Stoltenberg-Batz,12260,88,Adjustable weighted jump rope for workouts.,"A flavorful garlic butter blend, perfect for cooking or baking.",254,Chatterbridge
Scent Diffuser Oil,Vidoo,050fe3ab-fffd-4130-be57-7dd9fee51eda,Electronics,2025-03-16,14.99,Dębica,Rutherford Group,99299,251,Essential oil blends for a soothing atmosphere in your home.,Classic ranch dressing for salads and dipping.,59,Bubblemix
Fleece Throw Blanket,Meevee,bb2b75f1-ae08-4a3b-847f-e563859f00a3,Automotive,2025-12-07,29.99,Succha,Turner LLC,,264,"Super soft fleece blanket, perfect for coziness.","Juicy peach slices in syrup, perfect for desserts.",116,Trudoo
Spaghetti Sauce,Flipstorm,4ad5a86c-6ed5-4488-9b49-21bc23a4f0f0,Jewelry,2025-04-28,2.99,,Collier Group,48505,2,"Rich spaghetti sauce, a perfect pasta sauce.",,248,Camimbo
Body Pillow Case,JumpXS,afafac04-d643-414b-abf7-030a87c1f6ee,Health,2026-02-09,14.99,Broto,Beer Group,7435,29,Soft and breathable pillowcase for body pillows.,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks.",153,
Dog Frisbee Toy,Topicware,1df60310-2413-486f-a670-7fc4f4708e6d,Kids,2026-02-15,10.99,Carlton,,55275,257,,Toy drone that flies with gestures and is easy to control.,15,Ooba
Fridge Magnet Set,Yakitri,dd937e8d-9c41-4a80-bf83-246e654ff61c,Beauty,2025-07-17,15.99,Ojos de Agua,Ward LLC,,277,Fun fridge magnets to decorate your kitchen.,Cozy cable knit cardigan to layer during chilly evenings.,26,Aimbo
